,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
0,264,180,114,426,0,0,0,984
0,264,180,114,426,0,0,0,984
0,264,180,114,426,0,0,0,984
0,264,180,114,426,0,0,0,984
0,264,180,114,426,0,0,0,984
0,264,180,114,426,0,0,0,984
0,286,210,115,406,0,0,0,1017
0,286,210,115,406,0,0,0,1017
0,286,210,115,406,0,0,0,1017
0,286,210,115,406,0,0,0,1017
0,286,210,115,406,0,0,0,1017
0,286,210,115,406,0,0,0,1017
0,286,210,115,406,0,0,0,1017
0,4584,1608,3012,6180,0,0,0,15384
0,4584,1608,3012,6180,0,0,0,15384
0,4584,1608,3012,6180,0,0,0,15384
0,4584,1608,3012,6180,0,0,0,15384
0,4584,1608,3012,6180,0,0,0,15384
0,252,180,94,348,0,0,0,874
0,252,180,94,348,0,0,0,874
0,252,180,94,348,0,0,0,874
0,252,180,94,348,0,0,0,874
0,252,180,94,348,0,0,0,874
0,252,180,94,348,0,0,0,874
0,252,180,94,348,0,0,0,874
0,252,180,94,348,0,0,0,874
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,64,40,24,40,0,0,0,168
0,64,40,24,40,0,0,0,168
0,64,40,24,40,0,0,0,168
0,64,40,24,40,0,0,0,168
0,64,40,24,40,0,0,0,168
0,64,40,24,40,0,0,0,168
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,8,8,8,12,0,0,0,36
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,1601,2160,751,2155,0,0,0,6667
0,1601,2160,751,2155,0,0,0,6667
0,1601,2160,751,2155,0,0,0,6667
0,1601,2160,751,2155,0,0,0,6667
0,1601,2160,751,2155,0,0,0,6667
0,1601,2160,751,2155,0,0,0,6667
0,1601,2160,751,2155,0,0,0,6667
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,84,82,54,130,8,0,0,358
0,36,32,22,59,0,0,0,149
0,36,32,22,59,0,0,0,149
0,36,32,22,59,0,0,0,149
